M. Croy,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/212
M. Croy,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/162
M. Croy,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/109
Daniel Roberge,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/42
Joshua D. Baron,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/31
Luis de la Fuente Valentin,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/21
Nadira Saab,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/108
Johan Jeuring,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/4
Dave Barker-plummer,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/89
Dave Barker-plummer,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/196
Dave Barker-plummer,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/3
Brendon Towle,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/190
Brendon Towle,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/66
D. Zielke,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/57
Jana Krivec,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/172
Martin Ebner,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/26
Alvaro Ortigosa,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/201
Alvaro Ortigosa,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/166
Katja Niemann,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/33
Katja Niemann,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/47
Beijie Xu,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/131
Beijie Xu,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/134
Beijie Xu,http://data.linkededucation.org/resource/lak/specialissue/jets12/paper/76
Robert Dale,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/196
Robert Dale,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/89
Robert Dale,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/3
Lorrie Lehman,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/212
Kevin D. Ashley,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/214
Angela Z. Wagner,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/39
Carlos Monzo,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/6
Carlos Monzo,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/17
Vida Groznik,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/172
